href,name,born,died,birthplace,deathplace,birth_lon,birth_lat,death_lon,death_lat
https://en.wikipedia.org/wiki/Rita_Dove,Rita Dove,1952,,"Akron, Ohio",,-81.518485,41.083064,0,0
https://en.wikipedia.org/wiki/Kirby_Doyle,Kirby Doyle,1932,2003,,,0,0,0,0
https://en.wikipedia.org/wiki/Joseph_Rodman_Drake,Joseph Rodman Drake,1795,1820,,,0,0,0,0
https://en.wikipedia.org/wiki/Will_Allen_Dromgoole,Will Allen Dromgoole,1860,1934,,,0,0,0,0
https://en.wikipedia.org/wiki/Celia_Dropkin,Celia Dropkin,1887,1956,Bobruysk,New York City,21.331469,54.508347,-74.0060152,40.7127281
https://en.wikipedia.org/wiki/Norman_Dubie,Norman Dubie,1945,,,,0,0,0,0
https://en.wikipedia.org/wiki/Bruce_Ducker,Bruce Ducker,1938,,,,0,0,0,0
https://en.wikipedia.org/wiki/Peter_Kane_Dufault,Peter Kane Dufault,1923,2013,,,0,0,0,0
https://en.wikipedia.org/wiki/Amanda_Ruter_Dufour,Amanda Ruter Dufour,1822,1899,"Jeffersonville, Indiana","Washington, D.C.",-85.7371604,38.2770227,-77.0365427,38.8950368
https://en.wikipedia.org/wiki/Alan_Dugan,Alan Dugan,1923,2003,Brooklyn,"Hyannis, Massachusetts",-73.9497211,40.6526006,-70.2823732,41.6534847
https://en.wikipedia.org/wiki/Denise_Duhamel,Denise Duhamel,1961,,,,0,0,0,0
https://en.wikipedia.org/wiki/Michael_Dumanis,Michael Dumanis,1976,,,,0,0,0,0
https://en.wikipedia.org/wiki/Henry_Dumas,Henry Dumas,1934,1968,"Sweet Home, Arkansas",New York City,-92.24944675427870,34.668347,-74.0060152,40.7127281
https://en.wikipedia.org/wiki/Paul_Laurence_Dunbar,Paul Laurence Dunbar,1872,1906,"Dayton, Ohio",,-84.1916069,39.7589478,0,0
https://en.wikipedia.org/wiki/Robert_Duncan_(poet),Robert Duncan (poet),1919,1988,,,0,0,0,0
https://en.wikipedia.org/wiki/Emma_Bedelia_Dunham,Emma Bedelia Dunham,1826,1910,"Minot, Maine","Deering, Maine",-70.32074,44.086105,-69.7674317504655,44.302768550000000
